"","x_coord","y_coord","inf_times","data type","obs_type"
"1",4.815724816,-0.009049774,1987,"fixed",1
"2",3.728501229,0.316742081,1997,"fixed",1
"3",2.825552826,-1.556561086,2002,"fixed",1
"4",-3.366093366,0.615384615,2006,"fixed",1
"5",-3.679361179,-1.773755656,2009,"fixed",1
"6",-4.14004914,-2.180995475,2012,"fixed",1
"7",1.4,-1,2003,"variable",1
"8",0,-0.5,2004,"variable",1
"9",-1.75,0,2005,"variable",1
"10",-3.421375921,0.045248869,2007,"variable",1
"11",-3.531941032,-0.850678733,2008,"variable",1
"12",-3.808353808,-1.895927602,2010,"variable",1
"13",-3.974201474,-2.031674208,2011,"variable",1
"14",4.815724816,-0.009049774,1987,"fixed",2
"15",3.728501229,0.316742081,1997,"fixed",2
"16",2.825552826,-1.556561086,2002,"fixed",2
"17",-3.366093366,0.615384615,2006,"fixed",2
"18",-3.679361179,-1.773755656,2009,"fixed",2
"19",-4.14004914,-2.180995475,2012,"fixed",2
"20",1.4,-1,2003,"variable",2
"21",0,-0.5,2004,"variable",2
"22",-1.75,0,2005,"variable",2
"23",-3.421375921,0.045248869,2007,"variable",2
"24",-3.531941032,-0.850678733,2008,"variable",2
"25",-3.808353808,-1.895927602,2010,"variable",2
"26",-3.974201474,-2.031674208,2011,"variable",2
