"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.39390259189531,0,0.1,0,8,1,3,1,1
"4","mu_short",1.2012206427753,0,0.1,0,8,1,3,1,1
"5","tau",0.0102634584298357,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.786957559874281,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.11158648871351,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0485521317808889,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.72719731309917,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.371374851558357,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.231282006949186,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.854723129887134,0,0.1,-3,3,-1,1,3,1
"18","rho",0.451485633384436,0,0.1,-3,3,-1,1,3,1
"19","mu",2.07759781042114,0,0.1,0,8,1,3,1,2
"20","mu_short",2.82460390776396,0,0.1,0,8,1,3,1,2
"21","tau",0.049608046496287,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.443385611707345,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.183412209595554,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0890978873288259,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.49620391789358,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.601684792898595,0,0.1,-3,3,-1,1,3,2
"32","rho",0.0711828488856554,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.145931336563081,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.139977957587689,0,0.1,-3,3,-1,1,3,2
