"","x_coord","y_coord","inf_times","obs_type"
"1",4.815724816,-0.009049774,1987,1
"2",3.728501229,0.316742081,1997,1
"3",2.825552826,-1.556561086,2002,1
"4",2,-1.3,2003,1
"5",1.5,-1,2004,1
"6",-2.5,0.3,2005,1
"7",-3.366093366,0.615384615,2006,1
"8",-3.421375921,0.045248869,2007,1
"9",-3.531941032,-0.850678733,2008,1
"10",-3.679361179,-1.773755656,2009,1
"11",-3.808353808,-1.895927602,2010,1
"12",-3.974201474,-2.031674208,2011,1
"13",-4.14004914,-2.180995475,2012,1
"14",4.815724816,-0.009049774,1987,2
"15",3.728501229,0.316742081,1997,2
"16",2.825552826,-1.556561086,2002,2
"17",2,-1.3,2003,2
"18",1.5,-1,2004,2
"19",-2.5,0.3,2005,2
"20",-3.366093366,0.615384615,2006,2
"21",-3.421375921,0.045248869,2007,2
"22",-3.531941032,-0.850678733,2008,2
"23",-3.679361179,-1.773755656,2009,2
"24",-3.808353808,-1.895927602,2010,2
"25",-3.974201474,-2.031674208,2011,2
"26",-4.14004914,-2.180995475,2012,2
