"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",1,1,0.1,0,1000,0,1000,2,1
"2","beta",2,1,0.1,0,1000,0,1000,2,1
"3","mu",1.87427617609501,0,0.1,0,8,1,3,1,1
"4","mu_short",1.20302568143234,0,0.1,0,8,1,3,1,1
"5","tau",0.0357058058027178,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.464653252670541,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.199885148089379,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0358488910715096,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.35717507114168,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.562714189756662,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.251918138936162,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.957409554626793,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.98540170956403,0,0.1,-3,3,-1,1,3,1
"19","mu",1.08128945808858,0,0.1,0,8,1,3,1,2
"20","mu_short",1.13893517153338,0,0.1,0,8,1,3,1,2
"21","tau",0.0217732766410336,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.70495503298007,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.198274366487749,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.045776331378147,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.71894590638112,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.825458058156073,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.953879202716053,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.631963775027543,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.27357184747234,0,0.1,-3,3,-1,1,3,2
