"","x_coord","y_coord","inf_times","virus","obs_type"
"1",-5.043117219,-0.262028154,1996,"real",1
"2",-4.5,-0.5,1997,"infer",1
"3",-4,-0.75,1998,"infer",1
"4",-3.5,-1,1999,"infer",1
"5",-3.5,-1,2000,"infer",1
"6",-3,-1.2,2001,"infer",1
"7",-2.625195728,-1.354605981,2002,"real",1
"8",-3,0,2003,"infer",1
"9",-3.292077681,1.728458582,2004,"real",1
"10",-0.5,1.7,2005,"infer",1
"11",2.572463072,1.696108836,2006,"real",1
"12",2,1.4,2007,"infer",1
"13",1.8,1.3,2008,"infer",1
"14",1,0.9,2009,"infer",1
"15",0.648675659,0.662973902,2010,"real",1
"16",1.8,-0.3,2011,"infer",1
"17",3.060777427,-1.04733791,2012,"real",1
"18",-5.043117219,-0.262028154,1996,"real",2
"19",-4.5,-0.5,1997,"infer",2
"20",-4,-0.75,1998,"infer",2
"21",-3.5,-1,1999,"infer",2
"22",-3.5,-1,2000,"infer",2
"23",-3,-1.2,2001,"infer",2
"24",-2.625195728,-1.354605981,2002,"real",2
"25",-3,0,2003,"infer",2
"26",-3.292077681,1.728458582,2004,"real",2
"27",-0.5,1.7,2005,"infer",2
"28",2.572463072,1.696108836,2006,"real",2
"29",2,1.4,2007,"infer",2
"30",1.8,1.3,2008,"infer",2
"31",1,0.9,2009,"infer",2
"32",0.648675659,0.662973902,2010,"real",2
"33",1.8,-0.3,2011,"infer",2
"34",3.060777427,-1.04733791,2012,"real",2
