"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.35338907409459,0,0.1,0,8,1,3,1,1
"4","mu_short",1.53403545822948,0,0.1,0,8,1,3,1,1
"5","tau",0.0937511660228483,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.631516501912847,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.159719060151838,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0890821345685981,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.7232949975878,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.546703825704753,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.585223708301783,0,0.1,-3,3,-1,1,3,1
"17","rho",0.264291101135314,0,0.1,-3,3,-1,1,3,1
"18","rho",0.370303390081972,0,0.1,-3,3,-1,1,3,1
"19","mu",1.4124374864623,0,0.1,0,8,1,3,1,2
"20","mu_short",1.74893869133666,0,0.1,0,8,1,3,1,2
"21","tau",0.0696341464458965,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.683681197371334,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.144445910491049,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0457864416507073,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.01671510108281,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.186780520714819,0,0.1,-3,3,-1,1,3,2
"32","rho",0.146290882024914,0,0.1,-3,3,-1,1,3,2
"33","rho",0.826686433050781,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.757357927039266,0,0.1,-3,3,-1,1,3,2
