"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.98573770886287,0,0.1,0,8,1,3,1,1
"4","mu_short",1.35985009511933,0,0.1,0,8,1,3,1,1
"5","tau",0.0717457246710546,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.392825327627361,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.10404912091326,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0919693605345674,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.8074451511493,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.429716146551073,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.93858143594116,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.772702714893967,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.177559598349035,0,0.1,-3,3,-1,1,3,1
"19","rho",-0.538635928649455,0,0.1,-3,3,-1,1,3,1
"20","mu",1.35223051346838,0,0.1,0,8,1,3,1,2
"21","mu_short",1.95711881993338,0,0.1,0,8,1,3,1,2
"22","tau",0.040995889804326,0,0.1,0,1,0.01,0.1,1,2
"23","wane",0.715985372802243,0,0.1,0,1,0.2,0.8,1,2
"24","sigma1",0.141776336543262,0,0.1,0,1,0.1,0.2,1,2
"25","sigma2",0.079691060334444,0,0.1,0,1,0.01,0.1,1,2
"26","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"27","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"28","obs_sd",1.76144270831719,0,0.1,0,25,0.5,2,1,2
"29","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"30","rho_sd",1,1,0.1,0,10,1,2,1,2
"31","titre_dependent",0,1,0.1,0,1,0,1,1,2
"32","rho",0.188594130799174,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.895870525855571,0,0.1,-3,3,-1,1,3,2
"34","rho",0.299476833082736,0,0.1,-3,3,-1,1,3,2
"35","rho",0.72173320595175,0,0.1,-3,3,-1,1,3,2
"36","rho",0.217088400851935,0,0.1,-3,3,-1,1,3,2
