sampno,alpha,beta,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,MIN_TITRE,obs_sd,rho_mean,rho_sd,titre_dependent,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,0.333333333333333,0.333333333333333,1.74252233281732,1.02930884342641,0.0463389908522368,0.697575148614124,0.17137067867443,0.0302829597261734,8,0,1.44362984050531,0,1,0,-0.477242908906192,0.148662195075303,-0.56892912928015,-0.341149872168899,0.498273437377065,-2391.43170210957,-2285.56195960876,-105.869742500813
11,0.333333333333333,0.333333333333333,1.69043626170605,1.02930884342641,0.0933752494025976,0.724902682518587,0.171649659681134,0.0361008443986066,8,0,1.79713122139219,0,1,0,-0.477242908906192,0.148662195075303,-0.56892912928015,-0.341149872168899,0.498273437377065,-2122.11384438902,-2026.21298330565,-95.900861083368
21,0.333333333333333,0.333333333333333,1.69043626170605,1.39163148384541,0.0933752494025976,0.724902682518587,0.171649659681134,0.0361008443986066,8,0,1.79713122139219,0,1,0,-0.290763064613566,0.162962464662269,-0.476750500174239,-0.0784519103355708,0.232579011656344,-2073.21456392926,-1963.22936224128,-109.985201687977
31,0.333333333333333,0.333333333333333,1.69043626170605,1.39163148384541,0.0915092633664608,0.693290359480307,0.136252188053913,0.00972455133451149,8,0,1.83304643025622,0,1,0,-0.290763064613566,0.162962464662269,-0.476750500174239,-0.0784519103355708,0.232579011656344,-2056.06865562649,-1895.45833556727,-160.610320059217
41,0.333333333333333,0.333333333333333,1.69043626170605,1.39163148384541,0.0918647084478289,0.693290359480307,0.136252188053913,0.00972455133451149,8,0,1.83304643025622,0,1,0,-0.290763064613566,-0.101244554622099,-0.476750500174239,0.110833851899952,0.232579011656344,-2046.10949504304,-1845.99289376873,-200.116601274306
51,0.333333333333333,0.333333333333333,1.69043626170605,1.39163148384541,0.0918647084478289,0.643842115905136,0.120679195830598,0.00972455133451149,8,0,1.83304643025622,0,1,0,-0.290763064613566,-0.101244554622099,-0.476750500174239,0.110833851899952,0.232579011656344,-2031.24833141355,-1818.99166823338,-212.256663180172
61,0.333333333333333,0.333333333333333,2.08010550253093,1.64536295402795,0.0758976786024869,0.657219426590018,0.120679195830598,0.00972455133451149,8,0,1.83304643025622,0,1,0,-0.290763064613566,-0.101244554622099,-0.476750500174239,0.0480610042810441,0.232579011656344,-1976.28731542249,-1764.18483076129,-212.102484661196
71,0.333333333333333,0.333333333333333,2.08010550253093,1.64536295402795,0.0758976786024869,0.657219426590018,0.120679195830598,0.0307459150557406,8,0,1.83304643025622,0,1,0,-0.408245111396536,-0.186347541911528,-0.224694736255333,0.0155974510125816,0.232579011656344,-1940.86103717383,-1721.37328577891,-219.487751394921
81,0.333333333333333,0.333333333333333,2.08010550253093,1.95711512491107,0.0572093024011701,0.607315915077925,0.120679195830598,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.408245111396536,-0.186347541911528,-0.224694736255333,0.0155974510125816,0.21005268683657,-1940.78314654917,-1717.1833952163,-223.599751332866
91,0.333333333333333,0.333333333333333,2.08010550253093,1.95711512491107,0.0572093024011701,0.607315915077925,0.120679195830598,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.707109248545021,-0.376855969289318,-0.195502636302263,0.0155974510125816,0.21005268683657,-1877.29569423794,-1632.81542317228,-244.480271065655
101,0.333333333333333,0.333333333333333,2.08010550253093,1.70658261068165,0.0128770905639976,0.631785386824049,0.0861271876143292,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.707109248545021,-0.376855969289318,-0.195502636302263,0.0155974510125816,0.21005268683657,-1874.279829594,-1622.70888121708,-251.570948376918
111,0.333333333333333,0.333333333333333,2.08010550253093,1.8078218029812,0.0128770905639976,0.631785386824049,0.0861271876143292,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.811954083479941,-0.376855969289318,-0.356667486252263,0.0112945684697481,0.0884107111487538,-1822.0913599855,-1580.82755345192,-241.263806533575
121,0.333333333333333,0.333333333333333,2.08010550253093,1.8078218029812,0.0172965718060732,0.618648512405343,0.0922758601605892,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.811954083479941,-0.376855969289318,-0.356667486252263,0.0112945684697481,0.0884107111487538,-1829.4949263991,-1564.25761057066,-265.237315828434
131,0.333333333333333,0.333333333333333,2.08010550253093,1.91824895199388,0.0119835628103465,0.618648512405343,0.0922758601605892,0.0158574055531062,8,0,1.83304643025622,0,1,0,-0.811954083479941,-0.376855969289318,-0.356667486252263,-0.0139459655154495,0.053173955203965,-1824.66080853134,-1563.80964873499,-260.851159796349
141,0.333333333333333,0.333333333333333,2.08010550253093,1.91824895199388,0.0119835628103465,0.66192521257326,0.0922758601605892,0.0158574055531062,8,0,1.38748207595199,0,1,0,-0.811954083479941,-0.42490909146145,-0.530504380026832,-0.0139459655154495,0.053173955203965,-1741.93057682499,-1470.23005595219,-271.700520872798
151,0.333333333333333,0.333333333333333,2.08010550253093,1.95766419004649,0.0463419220317155,0.690511373989284,0.0922758601605892,0.0158574055531062,8,0,1.38748207595199,0,1,0,-0.811954083479941,-0.42490909146145,-0.530504380026832,-0.292292258702219,-0.0403530477546159,-1712.37101757848,-1427.45440938077,-284.916608197711
161,0.333333333333333,0.333333333333333,2.08010550253093,1.95766419004649,0.0463419220317155,0.690511373989284,0.0922758601605892,0.0158574055531062,8,0,1.38748207595199,0,1,0,-0.811954083479941,-0.550690344441683,-0.419802860124036,-0.292292258702219,-0.0403530477546159,-1705.28456780845,-1401.72831420829,-303.556253600164
