"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.078894673381,0,0.1,0,8,1,3,1,1
"4","mu_short",2.13788853632286,0,0.1,0,8,1,3,1,1
"5","tau",0.034679339164868,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.407254334585741,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.19928643302992,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0772374327550642,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.25185703858733,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.852250972762704,0,0.1,-3,3,-1,1,3,1
"16","rho",0.932373481802642,0,0.1,-3,3,-1,1,3,1
"17","rho",0.905473121907562,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.119543533306569,0,0.1,-3,3,-1,1,3,1
"19","rho",0.904939150903374,0,0.1,-3,3,-1,1,3,1
