names,values,fixed,steps,lower_bound,upper_bound,lower_start,upper_start,type,obs_type
alpha,0.3333333333333333,1,0.1,0,1000,0,1000,2,1
beta,0.3333333333333333,1,0.1,0,1000,0,1000,2,1
mu,2.387182583566755,0,0.1,0,8,1,3,1,1
mu_short,2.089949671179056,0,0.1,0,8,1,3,1,1
tau,0.035446022523101424,0,0.1,0,1,0.01,0.1,1,1
wane,0.7540600905660542,0,0.1,0,1,0.2,0.8,1,1
sigma1,0.1292315840255469,0,0.1,0,1,0.1,0.2,1,1
sigma2,0.08535660653375089,0,0.1,0,1,0.01,0.1,1,1
MAX_TITRE,8,1,0.1,0,8,8,8,1,1
MIN_TITRE,0,1,0.1,0,0,0,0,1,1
obs_sd,0.9293349270010367,0,0.1,0,25,0.5,2,1,1
rho_mean,0,1,0.1,-10,10,-2,2,1,1
rho_sd,1,1,0.1,0,10,1,2,1,1
titre_dependent,0,1,0.1,0,1,0,1,1,1
rho,-0.46635843999683857,0,0.1,-3,3,-1,1,3,1
rho,-0.626554420683533,0,0.1,-3,3,-1,1,3,1
rho,-0.5355481789447367,0,0.1,-3,3,-1,1,3,1
rho,-0.3667750903405249,0,0.1,-3,3,-1,1,3,1
rho,-0.39461325854063034,0,0.1,-3,3,-1,1,3,1
mu,1.3180920057930052,0,0.1,0,8,1,3,1,2
mu_short,1.0799918361008167,0,0.1,0,8,1,3,1,2
tau,0.029691958690527827,0,0.1,0,1,0.01,0.1,1,2
wane,0.6863591314759105,0,0.1,0,1,0.2,0.8,1,2
sigma1,0.1525697546778247,0,0.1,0,1,0.1,0.2,1,2
sigma2,0.0923192349402234,0,0.1,0,1,0.01,0.1,1,2
MAX_TITRE,8,1,0.1,0,8,8,8,1,2
MIN_TITRE,0,1,0.1,0,0,0,0,1,2
obs_sd,1.7470175703056157,0,0.1,0,25,0.5,2,1,2
rho_mean,0,1,0.1,-10,10,-2,2,1,2
rho_sd,1,1,0.1,0,10,1,2,1,2
titre_dependent,0,1,0.1,0,1,0,1,1,2
rho,-0.9084594734013081,0,0.1,-3,3,-1,1,3,2
rho,-0.0878170351497829,0,0.1,-3,3,-1,1,3,2
rho,-0.469626656267792,0,0.1,-3,3,-1,1,3,2
rho,-0.3906555939465761,0,0.1,-3,3,-1,1,3,2
rho,0.014613740146160126,0,0.1,-3,3,-1,1,3,2
